dv,model,condition,estimate,std.error,statistic,p.value,conf.low,conf.high
"Support for
international action",No controls,Infrastructure — hundreds,0.01706828396599437,0.020210499332686864,0.8445255945947598,0.39847030017474305,-0.022566014889445478,0.05670258282143422
"Support for
international action",No controls,Infrastructure — tens of thousands,0.029121725731896166,0.01967190420751288,1.480371469111481,0.13892154753182157,-0.009456347851627512,0.06769979931541985
"Support for
international action",With controls,Killing — hundreds,0.0423981436264263,0.017919581137926327,2.3660231397201428,0.01806980176380047,0.007256346782514529,0.07753994047033808
"Support for
international action",With controls,Killing — tens of thousands,0.024529548794463896,0.019215952743342705,1.2765200415556843,0.2019115602554529,-0.013154541155581824,0.062213638744509615
"Support for
international action",With controls,Sexual violence — hundreds,-0.014984866882244818,0.02216816713630467,-0.6759632760844804,0.4991376919848123,-0.058458496087623116,0.02848876232313348
"Support for
international action",With controls,Sexual violence — tens of thousands,-0.010403778160730237,0.021705877649172246,-0.4793069568014904,0.6317697107647586,-0.05297081903043029,0.03216326270896982
"Support for
international action",With controls,Infrastructure — hundreds,0.016638145955493566,0.02010880030634729,0.8274061953980307,0.40809999313637924,-0.022796892715406004,0.05607318462639314
"Support for
international action",With controls,Infrastructure — tens of thousands,0.025963945261475996,0.019519737013556037,1.3301380670981682,0.1836158594485551,-0.01231589104145843,0.06424378156441042
Preferred: Diplomatic,No controls,Killing — hundreds,2.2218519135700724e-4,0.010450666157718693,0.021260385510726974,0.9830396465514214,-0.02027069740508007,0.020715067787794084
Preferred: Diplomatic,No controls,Killing — tens of thousands,-0.00827639837804812,0.009264182272560687,-0.8933760298047831,0.37174209990562945,-0.02644268527291365,0.00988988851681741
Preferred: Diplomatic,No controls,Sexual violence — hundreds,-0.0027064346865507093,0.01004666090854174,-0.2693864868326231,0.7876545863004107,-0.022407096766632217,0.0169942273935308
Preferred: Diplomatic,No controls,Sexual violence — tens of thousands,0.019066190011916343,0.01252938033771315,1.5217185126488293,0.12820649940958218,-0.005502877298421728,0.043635257322254414
Preferred: Diplomatic,No controls,Infrastructure — hundreds,0.002370178840767007,0.01064016402912091,0.22275773515146,0.8237423196953341,-0.018494293238322537,0.023234650919856555
Preferred: Diplomatic,No controls,Infrastructure — tens of thousands,0.002927368130350808,0.010780652613445806,0.27153904641169374,0.7859989645980685,-0.01821259031690517,0.02406732657760679
Preferred: Diplomatic,With controls,Killing — hundreds,-5.021246973206175e-4,0.0105309592719929,-0.047680812768502376,0.9619744744281754,-0.021152528386336213,0.020148278991694978
Preferred: Diplomatic,With controls,Killing — tens of thousands,-0.008565429749186271,0.009313085405734297,-0.91971987542520806,0.35780882743128617,-0.02682767616487277,0.009696816666500227
Preferred: Diplomatic,With controls,Sexual violence — hundreds,-0.005941654267366002,0.009725265723695201,-0.6109503263123609,0.5412885910480925,-0.02501215468335011,0.013128846148618107
Preferred: Diplomatic,With controls,Sexual violence — tens of thousands,0.01802236653475116,0.012607628733662073,1.4294810638444535,0.15299227131725457,-0.006700226743504359,0.04274495981300668
Preferred: Diplomatic,With controls,Infrastructure — hundreds,0.0018118448694050848,0.010644815262504367,0.17020914170179957,0.8648595798248292,-0.01906182168728938,0.022685511426099553
Preferred: Diplomatic,With controls,Infrastructure — tens of thousands,0.0028375370900091774,0.01083684219518611,0.26184169141723357,0.7934652925118896,-0.018412679558336243,0.0240877537383546
Preferred: Economic sanctions,No controls,Killing — hundreds,-0.002705898223312017,0.0074201844921187,-0.36466724327219474,0.7153907554268452,-0.017256259640089436,0.011844463193465403
Preferred: Economic sanctions,No controls,Killing — tens of thousands,1.2696296648971814e-4,0.00793394283427381,0.01600250583370116,0.987233673599186,-0.015430835605951574,0.01568476153893101
Preferred: Economic sanctions,No controls,Sexual violence — hundreds,0.01133072947488859,0.009661513674890295,1.1727695945135894,0.2410003052907147,-0.007614691080638799,0.030276150030415977
Preferred: Economic sanctions,No controls,Sexual violence — tens of thousands,-1.5475803581101438e-4,0.007835244588430743,-0.019751525822119816,0.9842431683520623,-0.015519017599923888,0.01520950152830186
Preferred: Economic sanctions,No controls,Infrastructure — hundreds,0.0052790346907993745,0.008705243013637738,0.6064201404290697,0.5442910341895135,-0.01179121904801824,0.02234928842961699
